ArttÄ±rÄ±labilir Azami Bellek,Arttırılabilir Azami Bellek,BaÄŸlantÄ±lar,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz AÄŸÄ±rlÄ±ÄŸÄ±,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran KartÄ±,Ekran KartÄ± Bellek Tipi,Ekran KartÄ± HafÄ±zasÄ±,Ekran KartÄ± Tipi,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme HÄ±zÄ±,Ekran Yenileme Hızı,Ekran Özelliği,Garanti SÃ¼resi,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,KullanÄ±m AmacÄ±,Kullanım Amacı,Maksimum Ä°ÅŸlemci HÄ±zÄ± (GHz),Maksimum İşlemci Hızı (GHz),Okula DÃ¶nÃ¼ÅŸ,Okula Dönüş,Optik SÃ¼rÃ¼cÃ¼ Tipi,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem BelleÄŸi),Ram (Sistem BelleÄŸi) Tipi,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel Ä°ÅŸlemci HÄ±zÄ± (GHz),Temel İşlemci Hızı (GHz),Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k,Ã‡Ã¶zÃ¼nÃ¼rlÃ¼k StandartÄ±,Ä°ÅŸlemci FrekansÄ±,Ä°ÅŸlemci Modeli,Ä°ÅŸlemci Nesli,Ä°ÅŸlemci Tipi,Ä°ÅŸlemci Ã‡ekirdek SayÄ±sÄ±,Ä°ÅŸletim Sistemi,ÅžarjlÄ± KullanÄ±m SÃ¼resi,Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,,,,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,Belirtilmemiş,,,,Resmi Distribütör Garantili,,,Yok,,Q Türkçe,,Oyun,,+5,,,,Yok,,,,,8 GB,DDR4,,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,11800H,11. Nesil,Intel Core i7,Belirtilmemiş,Free Dos,,https://www.trendyol.com//msi/gf63-thin-11uc-616xtr-i7-11800h-8gb-ddr4-rtx3050-gddr6-4gb-512gb-ssd-15-6-fhd-dos-p-237307783?boutiqueId=61&merchantId=314538,33.799 TL
,,,Bluetooth - HDMI,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics 600,Dahili,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),,Ev - Okul,,2.8,,,,,IPS,,,,4 GB,DDR4,Gümüş,128 GB,,,,1.1,,,,,,,,,,1920 x 1080,FHD+,,N4020,4. Nesil,Intel Celeron,2,Windows,4-6 Saat,https://www.trendyol.com//asus/x515ma-ej680w-n4020-4gb-128gb-emmc-windows-11-home-15-6-full-hd-notebook-p-737952984?boutiqueId=61&merchantId=773412,7.399 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,4.4,,,,,IPS,,,,32 GB,DDR4,Gri,500 GB,Gen 3,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-dvb0x-b-intel-core-i5-12450h-32gb-ram-500-gb-nvme-ssd-gen4-8gb-rtx4060-freedos-p-672167679?boutiqueId=61&merchantId=114258,32.999 TL
,,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,4.2,,Üniversite,,Yok,IPS,,,,16 GB,DDR4,Gümüş,512 GB,,,,3.3,,,,,,,,,,1920 x 1080,Full HD (FHD),,5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//asus/vivobook-pro-15-m6500qc-hn095-ryzen-5-5600h-16gb-512gb-ssd-4gb-rtx-3050-15-6-full-hd-notebook-p-379307929?boutiqueId=61&merchantId=773412,24.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,,IPS,,,,16 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//hp/victus-gaming-15-fa1055nt-intel-core-i7-13700h-16gb-512gb-ssd-rtx4060-freedos-15-6-fhd-8u846ea-p-786971929?boutiqueId=61&merchantId=106934,36.849 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,165 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//acer/nitro-5-nh-qm0ey-002-intel-core-i7-12700h-16gb-1tb-ssd-rtx-4060-freedos-15-6-fhd-bilgisayar-p-768050068?boutiqueId=61&merchantId=624588,38.999 TL
,16 GB,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,,120 Hz,,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,VA,,,,16 GB,DDR5,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13650HX,13. Nesil,Intel Core i7,24,Free Dos,,https://www.trendyol.com//dell/g15-5530-intel-core-i7-13650hx-16gb-512gb-ssd-rtx3050-6gb-15-6-fhd-120hz-ubuntu-gaming-laptop-p-759035241?boutiqueId=623361&merchantId=968,33.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//lenovo/ideapad-gaming-3-82k101eatx-intel-core-i5-11320h-8-gb-256-gb-ssd-1-tb-hdd-nvidia-geforce-gt-p-364395534?boutiqueId=61&merchantId=762278,24.000 TL
,128 GB,,Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4070,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,MSI Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13900H,13. Nesil,Intel Core i9,10,Free Dos,,https://www.trendyol.com//msi/nb-katana-15-b13vgk-1469xtr-i9-13900h-16gb-ddr5-rtx4070-gddr6-8gb-512gb-ssd-15-6-fhd-144hz-dos-p-762731708?boutiqueId=61&merchantId=106740,54.499 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,17 inç,,,,,Nvidia GeForce RTX 4090,GDDR6,16 GB,Harici,,240 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,+5,,,,,IPS,,,,64 GB,DDR5,Siyah,4 TB,Gen 4,,,2.2,,,,,,,,,,2560 x 1600,QHD+,,13980HX,13. Nesil,Intel Core i9,24,Windows,,https://www.trendyol.com//monster/s7-v9-3-3-intel-core-i9-13980hx-64-gb-ram-4-tb-ssd-16-gb-rtx-4090-windows-11-17-qhd-240-hz-p-759726185?boutiqueId=61&merchantId=105286,134.999 TL
,,,HDMI - USB,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),,Oyun,,4.5,,,,,IPS,,,,16 GB,DDR4,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hf-i5-11400h-16gb-1tb-ssd-rtx2050-4gb-144hz-15-6-fhd-w11home-hn031-p-711553856?boutiqueId=61&merchantId=668896,32.179 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,16 inç,,,,,Nvidia GeForce RTX 4090,GDDR6X,16 GB,Harici,,165 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,RGB Türkçe,,Oyun,,+5,,,,,IPS,,,,64 GB,DDR5,Gri,2 TB,,,,,,,,,,,,,,2560 x 1600,WQHD,,13900HX,13. Nesil,Intel Core i9,24,Free Dos,,https://www.trendyol.com//casper/excalibur-g911-1390-ex90x-c-intel-core-i9-13900hx-64gb-ddr5-ram-2tb-nvme-ssd-16gb-rtx4090-freedos-p-672157362?boutiqueId=61&merchantId=114258,106.899 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,32 GB,DDR4,Siyah,1 TB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,11800H,11. Nesil,Intel Core i7,8,Windows,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a5-v17-3-3-intel-core-i7-11800h-32gb-1tb-ssd-rtx3050ti-windows-11-15-6-fhd-p-134421217?boutiqueId=61&merchantId=105286,31.499 TL
,,,HDMI - USB,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 2050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,4.4,,,,,TN,,,,8 GB,DDR5,Siyah,256 GB,,,,3.3,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Windows,6 Saat ve Üstü,https://www.trendyol.com//acer/an515-58-nh-qmzey-005-i5-12450h-8gb-ddr5-256gb-ssd-rtx2050-4gb-15-6-144hz-w11h-p-776123333?boutiqueId=61&merchantId=782038,21.900 TL
,,,HDMI,,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,1 TB,Q Türkçe,,Oyun,,4.7,,,,Yok,,,,,16 GB,DDR4,Siyah,1 TB,,,,3.5,,,,,,,,,,1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//msi/katana-gf76-12uc-059xtr-i7-12700h-16gb-ddr4-rtx3050-gddr6-4gb-1tb-ssd-17-3-fhd-144hz-dos-p-274366052?boutiqueId=61&merchantId=906392,45.999 TL
,32 GB,,USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,AMD R7 250,DDR4,Paylaşımlı,Dahili,,,Full HD,,,Resmi Distribütör Garantili,Full HD,Var,,128 GB,Q Türkçe,,Oyun,,,,,,Yok,IPS,,,,4 GB,,,128 GB,,,,,,,,,,,,,,1366 x 768,Full HD (FHD),,9225,9. Nesil,AMD A6,2,Windows,4-6 Saat,https://www.trendyol.com//lenovo/ideapad-ideapad-s145-81n30048tx-amd-a6-9225-2-6ghz-islemci-4gb-ram-128gb-ssd-15-6-p-77640819?boutiqueId=61&merchantId=899410,12.085 TL
,,,,,,,4 kg ve Üstü,,,,,,,Nvidia RTX A6000,GDDR6,,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,3 TB,Q Türkçe,,Ofis - İş,,,,,,DVD RW,,500 W ve üstü,,,128 GB,DDR4,Siyah,1 TB,,,,3.9,,,,,,,,,,,,3.00 GHz üstü,W-2245,Belirtilmemiş,Intel Xeon,8,Windows,,https://www.trendyol.com//dell/precision-t5820-w-2245-128gb-1tb-m-2-2tb-sata3-ssd-48gb-a6000-w11p-t5820-2245-41-desktop-p-785347660?boutiqueId=61&merchantId=131329,"425.943,64 TL"
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"17,3 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),,Oyun,,4.7,,,,,IPS,,,,32 GB,DDR4,Siyah,1 TB,Gen 4,,,2.6,,,,,,,,,,1920 x 1080,Full HD (FHD),,13500H,13. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-5-2-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736036458?boutiqueId=623361&merchantId=968,34.999 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"16,1 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Mavi,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0022nt-r7-7840hs-16gb-512gb-ssd-rtx4050-6gb-dos-16-1-144hz-notebook-7z588ea-p-739506836?boutiqueId=61&merchantId=106740,30.799 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,,120 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,16 GB,DDR5,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//lenovo/ip-gaming3-amd-ryzen-5-7535hs-16gb-512gb-rtx4050-dos-15-6-onyx-grey-gaming-pc-lenovo-tr-garantili-p-744554279?boutiqueId=61&merchantId=399441,28.393 TL
,32 GB,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,60 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,Yok,Q Türkçe,,Oyun,,4.5,,,,Yok,TN,,,,8 GB,DDR4,Siyah,512 GB,,,,2.2,,,,,,,,,,1920 x 1080,Full HD (FHD),,11400,11. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//msi/gf63-thin-11uc-617xtr-i5-11400h-8gb-ddr4-rtx3050-gddr6-4gb-512gb-ssd-15-6-fhd-dos-p-284885322?boutiqueId=61&merchantId=105290,26.914 TL
,,,Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce GTX 1650,GDDR6,4 GB,Harici,,120 Hz,,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,4.5,,,,,IPS,,,,8 GB,DDR4,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,11320H,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-11320h-8gb-512gb-ssd-gtx1650-freedos-15-6-82k101lxtxa17-p-767235964?boutiqueId=61&merchantId=826024,22.399 TL
,,,,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,120 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,RGB Türkçe,,Oyun,,4.5,,,,Yok,IPS,,,,8 GB,DDR4,Siyah,256 GB,,,,3.2,,,,,,,,,,1920 x 1080,Full HD (FHD),,i5-11320H,11. Nesil,Intel Core i5,4,Free Dos,3 Saat ve Altı,https://www.trendyol.com//lenovo/ideapad-gaming3-core-i5-11320h-8gb-256gb-ssd-rtx-3050ti-freedos-15-6-fhd-notebook-82k101fqtx-p-347933481?boutiqueId=61&merchantId=133639,22.999 TL
,,,,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050 Ti,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,Yok,,,,,16 GB,DDR4,Siyah,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,11300H,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//hp/pavilion-15-dk2063nt-54t19ea-i5-11300h-16gb-512ssd-rtx3050ti-15-6-fullhd-w11h-tasinabilir-bilgis-p-338543376?boutiqueId=61&merchantId=831672,28.999 TL
8 GB,,HDMI,,,,2 - 4 kg,,Yok,14 inÃ§,AMD Radeon Graphics,GDDR6,PaylaÅŸÄ±mlÄ±,Dahili,,,,,60 Hz,,,2 YÄ±l,,Asus TÃ¼rkiye Garantili,,,HDD Yok,,Q TÃ¼rkÃ§e,Ev - Okul,,4.0,,,,Yok,,IPS,,16 GB,DDR4,,,GÃ¼mÃ¼ÅŸ,512 GB,,,3,,1920 x 1080,Full HD (FHD),,4600H,4. Nesil,AMD Ryzen 5,6,Free Dos,4-6 Saat,,,,,,,,,,https://www.trendyol.com//asus/vivobook-14-m1402ia-ek136-ryzen-5-4600h-16-gb-512-gb-ssd-freedos-14-fhd-tasinabilir-bilgisayar-p-474679223?boutiqueId=61&merchantId=106740,13.999 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4050,DDR4,Paylaşımlı,Dahili,,90 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),,Oyun,,,,,,,IPS,,,,16 GB,DDR4,Gümüş,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,13500H,11. Nesil,Intel Core i5,4,Windows,,https://www.trendyol.com//hp/victus-15-fa1025nt-core-i5-13500h-16gb-512gb-ssd-6gb-rtx-4050-15-6-w11-mika-gumus-7n9t3ea-p-773620973?boutiqueId=61&merchantId=112708,29.694 TL
,,,,,,,,,,,,,,Nvidia GeForce RTX 4060,GDDR6,,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,512 GB,,,Oyun,,,,,,Yok,,,,,16 GB,,,512 GB,,,,,,,,,,,,,,,,,Ryzen 5 5600,Belirtilmemiş,AMD Ryzen 5,12,Free Dos,,https://www.trendyol.com//dragos/drx5245-ryzen-5-5600-16gb-ram-512gb-m-2-nvme-ssd-8gb-rtx4060-masaustu-oyuncu-bilgisayari-p-750330227?boutiqueId=61&merchantId=107513,"23.447,90 TL"
,,,USB,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,Belirtilmemiş,4 GB,Harici,,120 Hz,,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,,,,,,,,,,16 GB,DDR5,Gri,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,6600H,Belirtilmemiş,AMD Ryzen 5,6,Windows,,https://www.trendyol.com//dell/g15-5525-g1555251000wh-ryzen-5-6600h-16gb-512gb-ssd-4gb-geforce-rtx-3050-15-6-fhd-win11-p-448032468?boutiqueId=61&merchantId=105378,24.899 TL
,,,HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,,Oyun,,4.7,,,,Yok,IPS,,,,32 GB,DDR4,Siyah,1 TB,,,,3.5,,,,,,,,,,1920 x 1080,Full HD (FHD),,12650H,12. Nesil,Intel Core i7,10,Free Dos,,https://www.trendyol.com//casper/excalibur-g770-1265-dfj0x-b-intel-core-i7-12650h-32gb-ram-1tb-nvme-ssd-gen4-4gb-rtx3050-freedos-p-311975792?boutiqueId=61&merchantId=114258,28.999 TL
,,,Bluetooth,,,,,Yok,24 inç,,,,,M1 7 Çekirdekli,Belirtilmemiş,,Dahili,,,,,2 Yıl,Apple Türkiye Garantili,,,,Yok,Q Türkçe,,Ofis - İş,,,,,,Yok,,,,,8 GB,,Gümüş,256 GB,,,,,,,,,,,,,,4480 x 2520,Retina,,Belirtilmemiş,,Apple M1,8,Mac Os,,https://www.trendyol.com//apple/imac-m1-cip-8gb-256gb-ssd-macos-retina-24-fhd-all-in-one-bilgisayar-mgtf3tu-a-gumus-p-106962451?boutiqueId=61&merchantId=143314,44.649 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//hp/victus-laptop-16-r0057nt-i5-13500h-16gb-ram-1tb-ssd-6gb-rtx-3050-16-1-fhd-freedos-mavi-7p6d2ea-p-745988566?boutiqueId=61&merchantId=118442,29.499 TL
,16 GB,,HDMI,,,,4 kg ve Üstü,,,,,,,AMD Radeon RX 580,GDDR6,8 GB,Harici,,,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Yok,,Oyun,,,,,,Yok,IPS,500 W ve üstü,,,16 GB,DDR3,Siyah,256 GB,,,,3.2,,,,,,,,,,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,6 Saat ve Üstü,https://www.trendyol.com//izoly/n13s-ti-i5-3470-16gb-256gb-rx-580-8gb-oyuncu-masaustu-bilgisayari-p-98371894?boutiqueId=61&merchantId=123676,"7.754,74 TL"
,,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Oyun,,4.5,,,,,,,,,16 GB,DDR4,Siyah,1 TB,,,,2.7,,,,,,,,,,1920 x 1080,Full HD (FHD),,11400H,11. Nesil,Intel Core i5,6,Windows,,https://www.trendyol.com//asus/tuf-gaming-f15-fx506hc-i5-11400h-16gb-1tb-ssd-rtx3050-4gb-144hz-w11p-15-6-fhd-hn373-p-661919918?boutiqueId=61&merchantId=448871,31.150 TL
,,,Bluetooth,,,,2 kg ve Altı,Var,"15,6 inç",,,,,Intel Iris Graphics,DDR4,16 GB,Dahili,,144 Hz,,,2 Yıl,Huawei Türkiye Garantili,,,512 GB,,Q Türkçe (Aydınlatmasız),,Ev - Okul,,,,,,Yok,,,,,16 GB,LPDDR4,Siyah,512 GB,,,,,,,,,,,,,,2160 x 1440,HD Ready (HD),,Belirtilmemiş,4. Nesil,Intel Core i5,12,Windows,,https://www.trendyol.com//huawei/matebook-14-intel-core-i5-1240p-processor-16gb-512-gb-intel-iris-xe-graphics-14-windows-1-p-759730248?boutiqueId=61&merchantId=624588,24.999 TL
,,,,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,60 Hz,,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe,,Ofis - İş,,,,,,,,,,,16 GB,DDR4,Gümüş,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,11320H,11. Nesil,Intel Core i5,4,Ubuntu,,https://www.trendyol.com//dell/inspiron-5510-intel-core-i5-11320h-16gb-512gb-ssd-15-6-tasinabilir-bilgisayar-i55106007u-p-464968715?boutiqueId=61&merchantId=105378,15.299 TL
,,,USB - Bluetooth - HDMI,,,,2 - 4 kg,Yok,"15,6 inç",,,,,AMD Radeon RX6500M,GDDR6,4 GB,Harici,,144 Hz,,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),,Oyun,,,,,,,IPS,,,,32 GB,DDR4,Gümüş,512 GB,,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,5600H,5. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-gaming-laptop-15-fb0015nt-amd-ryzen-5-5600h-32-gb-512gb-ssd-rx6500m-freedos-15-6-fhd-144-p-759418740?boutiqueId=61&merchantId=106740,23.799 TL
,,,Bluetooth,,,,2 - 4 kg,Yok,"15,6 inç",,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,144 Hz,,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),,Oyun,,4.4,,,,,IPS,,,,16 GB,DDR4,Gri,1 TB,Gen 4,,,,,,,,,,,,,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,8,Free Dos,,https://www.trendyol.com//casper/excalibur-g870-1245-bfb0x-b-intel-core-i5-12450h-16gb-ram-1tb-nvme-ssd-gen4-8gb-rtx4060-freedos-p-672188360?boutiqueId=61&merchantId=114258,32.499 TL
,64 GB,,USB,,,,2 - 4 kg,,,,,,,Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,,300 Hz,,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,Yok,Yok,,Oyun,,,,,,Yok,,500 W ve üstü,,,16 GB,DDR4,,1 TB,Gen 4,LGA 1700,,2.5,,,,,,,,,,3840 x 2160,Ultra HD 4K (UHD),2.50 GHz - 3.00 GHz,i5 12400f,12. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//msi/intel-core-i5-12400f-16gb-ddr4-1-tb-3300-3100-mb-s-m2-ssd-rtx4060-gaming-masaustu-pc-p-744104739?boutiqueId=61&merchantId=530815,25.999 TL
,,,USB,,,,2 kg ve Altı,Yok,"15,6 inç",,,,,Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,,Belirtilmemiş,,,2 Yıl,Resmi Distribütör Garantili,,,256 GB,,Q Türkçe,,Ofis - İş,,,,,,,,,,,8 GB,DDR5,Gri,256 GB,,,,,,,,,,,,,,1920 x 1080,HD Ready (HD),,Belirtilmemiş,12. Nesil,Intel Core i5,8,Windows,,https://www.trendyol.com//lenovo/ideapad-slim-3-12-nesil-core-i5-12450h-8gb-256gb-ssd-15-6inc-w11-p-779236804?boutiqueId=61&merchantId=212819,15.950 TL
